"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.475558010E0,1.388634443E0,-5.430030823E-2,-3.568224192E0,3.829292105E0
2.495475652E0,2.574120522E0,-3.859043121E-1,-3.402018785E0,4.283544142E0
2.515385705E0,2.783754826E0,-9.815111160E-1,-4.730919838E0,5.576222513E0
2.535311342E0,2.936215878E0,-2.034584999E0,-6.647798061E0,7.546795271E0
2.555218465E0,3.761872768E0,-2.969681740E0,-5.764003754E0,7.496294794E0
2.575146585E0,5.490562439E0,-2.809979439E0,-3.635157347E0,7.159373526E0
2.595064125E0,6.758688927E0,-2.044601440E0,-3.621630430E0,7.935772050E0
2.614986243E0,6.594676971E0,-2.963994026E0,-5.625045776E0,9.160576670E0
2.634889297E0,5.700747013E0,-4.584033012E0,-5.993886471E0,9.457195683E0
2.654806898E0,5.194392204E0,-4.821995735E0,-4.146624088E0,8.211445949E0
2.674737764E0,3.785219669E0,-4.799123764E0,-3.994264841E0,7.301618209E0
2.694652782E0,2.303768158E0,-4.771061897E0,-5.565896511E0,7.684372670E0
2.714555897E0,2.686627507E-1,-4.494122505E0,-4.150358200E0,6.123298944E0
2.734473356E0,-1.461132169E0,-4.048321724E0,3.789179325E-1,4.320578063E0
2.754391201E0,-3.017970562E0,-4.099545479E0,2.446425438E0,5.647956876E0
2.774316777E0,-4.998767376E0,-4.256587029E0,1.280755758E0,6.689285741E0
2.794244327E0,-5.930893898E0,-3.369121552E0,-1.619692087E0,7.010697891E0
2.814150942E0,-3.862561703E0,-4.000978470E-1,-1.424654841E0,4.136315101E0
2.834072429E0,-1.151458383E0,1.564712524E0,-7.332161665E-1,2.076484442E0
2.853994587E0,1.974557042E0,2.385779858E0,1.843223274E-1,3.102385495E0
2.873905169E0,3.345597506E0,2.554914951E0,6.340073347E-1,4.257062177E0
2.893820288E0,2.445395231E0,2.567536831E0,1.667310715E0,3.918179199E0
2.913739985E0,9.648420215E-1,2.154808044E0,1.740118623E0,2.932938911E0
2.933655694E0,-1.224431276E0,2.309092522E0,1.919301271E0,3.242662115E0
2.953584342E0,-3.707406044E0,3.397944927E0,2.520169973E0,5.625135198E0
2.973500702E0,-5.359386921E0,4.819743633E0,2.312974691E0,7.569861873E0
2.993418404E0,-5.030096054E0,5.940021038E0,2.043397427E0,8.047433708E0
3.013336067E0,-4.128959656E0,6.812874317E0,1.624967813E0,8.130441851E0
3.033257411E0,-3.248602390E0,6.899183273E0,4.967957735E-1,7.641920791E0
3.053174483E0,-1.741108656E0,5.813863754E0,-2.213852882E0,6.460156011E0
3.073089399E0,6.013370752E-1,2.948420048E0,-8.375054359E0,8.899231572E0
3.093006044E0,5.118443012E0,-5.097270966E0,-1.876769066E1,2.010986929E1
3.112923869E0,8.961352348E0,-1.464256001E1,-1.030873966E1,2.002449782E1
3.132832741E0,6.391939163E0,-5.857548714E0,-4.279687405E0,9.668685923E0
3.152758501E0,3.771927118E0,3.536077023E0,-5.302627563E0,7.406020117E0
3.172662369E0,3.335603237E0,7.397072792E0,-8.679504395E-1,8.160653945E0
3.192580173E0,9.459094405E-1,2.145175934E0,5.768158913E0,6.226410017E0
3.212505261E0,-5.012878418E0,-9.680132866E0,7.382659912E0,1.316577342E1
3.232430064E0,-7.717145920E0,-1.101598740E1,-3.958931208E0,1.402067958E1
3.252341033E0,-4.073175430E0,-2.067642212E-1,-6.644329548E0,7.796192960E0
3.272250557E0,-6.556187153E0,3.524886608E0,2.880049467E0,7.981422211E0
3.292169379E0,-7.287097931E0,1.997110367E0,3.755437851E0,8.437627600E0
3.312090215E0,-5.459768295E0,5.979404449E-1,2.836885452E0,6.181789521E0
3.332004988E0,-3.757704735E0,-2.799663544E-1,1.506806493E0,4.058225208E0
3.351921389E0,-1.624890804E0,-1.234086037E0,1.430374861E0,2.491828789E0
3.371840251E0,1.608967423E0,-1.230594635E0,2.449033022E0,3.178191635E0
3.391757364E0,3.823601961E0,6.517219543E-2,2.425187588E0,4.528323554E0
3.411688352E0,4.038083553E0,1.818339348E0,-1.241135597E-2,4.428614999E0
3.431607906E0,3.444905519E0,2.722097397E0,-3.174927473E0,5.418242587E0
3.451506017E0,3.818583488E0,2.911674023E0,-4.969844818E0,6.910772966E0
3.471434319E0,4.091826439E0,1.865329266E0,-4.752417564E0,6.542779958E0
3.491352815E0,2.791335821E0,4.190845490E-1,-3.510063171E0,4.504190381E0
3.511277395E0,1.237426400E0,-1.252076149E0,-5.933980942E0,6.189591957E0
3.531187916E0,4.243610799E-1,-1.874510765E0,-7.894533157E0,8.125117027E0
3.551104947E0,1.063446999E0,-5.876550674E-1,-4.784697056E0,4.936555876E0
3.571016017E0,2.755185604E0,2.214498520E-1,-1.482675314E0,3.136624593E0
3.590942855E0,3.400542259E0,-1.766767502E-1,-2.084417343E0,3.992455133E0
3.610858625E0,3.938515663E0,-1.702725410E0,-5.499430656E0,6.975307663E0
3.630783265E0,4.661755085E0,-2.958952904E0,-6.963665962E0,8.887069618E0
3.650701008E0,5.478310108E0,-2.313707352E0,-5.792286873E0,8.301548685E0
3.670619322E0,5.894387245E0,-1.469599724E0,-3.637878418E0,7.080796829E0
3.690536272E0,5.536503792E0,-2.587356567E0,-3.390086889E0,6.988560464E0
3.710453893E0,4.365049839E0,-4.311566353E0,-5.840808868E0,8.471027845E0
3.730370884E0,4.043001652E0,-6.074863434E0,-7.035947800E0,1.013678398E1
3.750289421E0,4.053557873E0,-6.400779724E0,-4.552587509E0,8.838968579E0
3.770201895E0,3.111861944E0,-4.506506920E0,-3.924097538E0,6.737271767E0
3.790124846E0,6.217323542E-1,-3.833388329E0,-3.958008766E0,5.545020342E0
3.810042244E0,-2.504866123E0,-4.105616570E0,-7.956743240E-2,4.810069925E0
3.829952989E0,-4.665009022E0,-4.836383820E0,2.209419489E0,7.073503524E0
