"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.338507797E0,4.887330532E-2,2.070367336E-2,-1.789188385E-2,5.601215557E-2
5.358438787E0,5.919241905E-2,1.911750436E-2,-2.673053741E-2,6.770334613E-2
5.378365301E0,5.897438526E-2,2.489361167E-2,-3.898143768E-2,7.494813208E-2
5.398272081E0,4.919290543E-2,2.986517549E-2,-3.810596466E-2,6.902126624E-2
5.418187568E0,4.894888401E-2,2.041259408E-2,-2.396965027E-2,5.819975410E-2
5.438105456E0,4.846906662E-2,1.242050529E-2,-2.056312561E-2,5.409585479E-2
5.458021797E0,4.708302021E-2,1.870512962E-2,-2.679157257E-2,5.731039196E-2
5.477937935E0,4.987156391E-2,1.790475845E-2,-3.525066376E-2,6.364245876E-2
5.497856028E0,5.536675453E-2,3.160041571E-2,-3.662776947E-2,7.352317510E-2
5.517767120E0,4.751026630E-2,2.278301120E-2,-3.433799744E-2,6.289188399E-2
5.537689728E0,4.524636269E-2,2.567869425E-2,-3.453063965E-2,6.244192301E-2
5.557606599E0,4.481065273E-2,3.669977188E-2,-2.769947052E-2,6.420380457E-2
5.577523266E0,4.889154434E-2,1.771926880E-2,-2.910995483E-2,5.959651890E-2
5.597439852E0,5.661320686E-2,3.193801641E-2,-4.724693298E-2,8.035772993E-2
5.617365308E0,6.259977818E-2,4.838687181E-2,-3.934383392E-2,8.836265534E-2
5.637273552E0,5.765688419E-2,2.677774429E-2,-2.296257019E-2,6.759174146E-2
5.657190301E0,4.125380516E-2,6.305307150E-3,3.114700317E-3,4.184895096E-2
5.677106805E0,4.348039627E-2,2.018904686E-2,-1.642131805E-2,5.067348577E-2
5.697023188E0,4.987621307E-2,1.888731122E-2,-2.354717255E-2,5.829954108E-2
5.716940587E0,5.146038532E-2,2.826899290E-2,-3.771877289E-2,6.978547876E-2
5.736856196E0,5.091667175E-2,2.138721943E-2,-3.265476227E-2,6.415804015E-2
5.756774288E0,6.736242771E-2,1.908916235E-2,-4.642295837E-2,8.400704643E-2
5.776698198E0,5.866086483E-2,2.083331347E-3,-5.365753174E-2,7.952715287E-2
5.796592607E0,5.395507812E-2,1.324617863E-2,-4.555225372E-2,7.184441191E-2
5.816524737E0,3.806221485E-2,1.355978847E-2,-2.791786194E-2,4.911218869E-2
5.836441526E0,3.498494625E-2,1.700586081E-2,-7.958412170E-3,3.970493786E-2
5.856358519E0,4.229223728E-2,2.624115348E-2,-2.503681183E-2,5.571421198E-2
5.876274779E0,3.941893578E-2,4.383260012E-2,-4.099655151E-2,7.180436315E-2
5.896191650E0,4.770660400E-2,2.764144540E-2,-3.751182556E-2,6.668663004E-2
5.916107381E0,4.461574554E-2,2.517619729E-2,-2.450656891E-2,5.678888606E-2
5.936024455E0,5.217242241E-2,2.494803071E-2,-2.455139160E-2,6.282624233E-2
5.955941936E0,5.122447014E-2,3.291556239E-2,-3.196716309E-2,6.876976155E-2
5.975858684E0,6.581568718E-2,2.364957333E-2,-3.196716309E-2,7.689542583E-2
5.995774049E0,5.408632755E-2,1.820984483E-2,-3.332328796E-2,6.608608626E-2
6.015678387E0,4.244279861E-2,2.248376608E-2,-2.996253967E-2,5.660975777E-2
6.035609215E0,5.002593994E-2,2.411389351E-2,-3.481197357E-2,6.554348199E-2
6.055524621E0,4.567420483E-2,2.162528038E-2,-2.660655975E-2,5.711124898E-2
6.075442753E0,4.946243763E-2,2.486410737E-2,-2.427864075E-2,6.045005350E-2
