"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.275527526E0,-2.148645401E0,1.320661545E1,-1.197153473E1,1.795408066E1
2.295444722E0,-2.989048004E0,1.137023067E1,-4.200213432E0,1.248432403E1
2.315361369E0,2.029259920E0,1.515975857E1,2.012408066E1,2.527676399E1
2.335278443E0,1.287714863E1,2.005962372E0,4.518537903E1,4.702726145E1
2.355197084E0,8.884405136E0,-4.239918709E0,-2.933111668E0,1.027193795E1
2.375112632E0,8.258741379E0,-4.020221710E0,-2.029259300E1,2.227461161E1
2.395029136E0,1.267189693E1,-5.912674904E0,-2.187912941E1,2.596599700E1
2.414947533E0,1.705574036E0,1.562508106E0,-1.793481636E1,1.808336396E1
2.434855920E0,-3.399080038E0,3.091878891E-1,-8.658997536E0,9.307393866E0
2.454782800E0,3.631631374E0,-1.458845139E1,-4.736262798E0,1.576210156E1
2.474697738E0,1.333651257E1,-3.484605789E1,6.692377090E0,3.790644047E1
2.494614730E0,8.183702469E0,-2.175222015E1,2.470069313E1,3.391542877E1
2.514531112E0,1.535698652E0,-1.043017673E1,9.868207932E0,1.444051539E1
2.534441880E0,1.145408869E0,-3.939462185E0,1.780794907E1,1.827441856E1
2.554364101E0,2.166373014E0,2.803510666E0,1.863665390E1,1.897044313E1
2.574276252E0,2.569857121E0,6.039896965E0,9.104921341E0,1.122426450E1
2.594201138E0,-8.045017719E-1,6.019129753E0,1.752977753E1,1.855182595E1
2.614117256E0,-9.311372757E0,1.453082085E0,1.988473892E1,2.200490746E1
2.634033394E0,-1.420589828E1,-8.680920601E-1,1.092923450E1,1.794461749E1
2.653952238E0,-1.026252747E1,9.718480110E-1,5.584654331E0,1.172400625E1
2.673868722E0,-6.400906086E0,3.129221916E0,3.704082966E0,8.030184253E0
2.693785572E0,-6.213101387E0,4.953894138E0,2.324965954E0,8.279442171E0
2.713695078E0,-5.325327396E0,5.152513504E0,3.356533527E0,8.134729535E0
2.733619639E0,-2.817978859E0,3.466434479E-1,4.057658195E0,4.952348590E0
2.753536836E0,7.184356689E0,-1.389777374E1,6.929868698E0,1.711099577E1
2.773446158E0,4.255785370E1,-3.653253174E1,1.428504944E1,5.787797011E1
2.793370943E0,2.448813820E1,-2.215603447E1,1.269467258E1,3.537956314E1
2.813287854E0,1.467410278E1,-1.088963223E1,-1.963738918E0,1.837851063E1
2.833205803E0,2.956240416E0,-4.882068634E0,-3.692137241E0,6.797486959E0
2.853121982E0,-4.665028572E0,-1.082039833E0,-2.957546234E0,5.628532802E0
2.873023695E0,-6.346306801E0,2.066315651E0,-6.173790455E0,9.091807244E0
2.892944900E0,-3.105401516E0,7.985214710E0,-8.374979019E0,1.198112875E1
2.912872960E0,-1.762414694E0,1.279673386E1,-9.522813797E0,1.604825491E1
2.932789953E0,-2.145635128E0,1.620666885E1,-1.510151100E1,2.225568467E1
2.952706945E0,-2.212422132E0,1.691654205E1,-1.569571877E1,2.318231641E1
2.972624019E0,-3.412025928E0,1.559974575E1,-1.149881268E1,1.967782207E1
2.992533342E0,-2.676992655E0,1.312853813E1,-4.334688187E0,1.408241190E1
3.012450335E0,5.675378799E0,1.684204483E1,2.667900276E1,3.205672452E1
3.032375262E0,1.146457577E1,4.997884750E0,2.948528862E1,3.202807510E1
3.052292153E0,7.102066517E0,-2.968071938E0,7.544953346E0,1.077845633E1
3.072211078E0,-2.012141943E0,4.512008667E0,-1.547729683E1,1.624665056E1
3.092125650E0,4.833843231E0,-1.782104492E0,-1.565814972E1,1.648391912E1
3.112042704E0,1.321084595E1,-7.089192390E0,-1.789660072E1,2.334676459E1
3.131960876E0,3.194744587E0,-4.639958382E0,-1.214042282E1,1.338377649E1
3.151875753E0,2.904911041E0,-1.119100666E1,-2.813332319E0,1.189924271E1
3.171785442E0,9.356752396E0,-2.372259712E1,4.431909561E0,2.588343586E1
3.191710634E0,1.215909767E1,-2.563803482E1,1.388154984E1,3.158876242E1
3.211626873E0,2.019847631E0,-1.275836849E1,1.102509403E1,1.698259254E1
3.231544579E0,5.438253880E-1,-5.671400070E0,1.708673859E1,1.801158406E1
3.251461530E0,1.632090092E0,4.278359413E-1,2.141341782E1,2.147978641E1
3.271373762E0,3.821335316E0,4.507840157E0,1.133790779E1,1.278559266E1
3.291286910E0,3.281004667E0,6.902392864E0,1.387341499E1,1.583918124E1
3.311212224E0,-3.940618038E0,3.281451941E0,1.776959610E1,1.849472744E1
3.331129704E0,-1.227348328E1,7.708978653E-2,1.596451569E1,2.013728124E1
3.351046656E0,-1.262635899E1,1.056504250E-1,7.826426029E0,1.485560661E1
3.370964910E0,-8.712804794E0,1.955768108E0,5.484810352E0,1.047955824E1
3.390881252E0,-6.549266815E0,4.000555038E0,4.019412041E0,8.663314007E0
3.410797085E0,-6.519278526E0,5.234301567E0,2.812125206E0,8.820824994E0
3.430714749E0,-5.179626465E0,2.315902710E0,3.016992569E0,6.426054765E0
3.450625008E0,-2.675668240E0,-4.947494507E0,3.132830620E0,6.438286272E0
3.470548104E0,3.111912155E1,-3.439775848E1,8.271333694E0,4.711709325E1
3.490465707E0,3.773408127E1,-3.095380020E1,2.065806961E1,5.299768369E1
3.510382964E0,2.215186501E1,-1.538562489E1,6.861451149E0,2.782987762E1
3.530299143E0,1.019613838E1,-4.867817879E0,-4.086237907E0,1.201475048E1
3.550208547E0,-1.928679705E0,-4.555025101E-1,-4.487277031E0,4.905399382E0
3.570126292E0,-7.086930275E0,1.047172546E0,-4.986375809E0,8.728407344E0
3.590050793E0,-4.443310261E0,5.160802841E0,-7.109979630E0,9.845237548E0
3.609968050E0,-2.205655575E0,9.975433350E0,-8.504595757E0,1.329294309E1
3.629885652E0,-1.533010006E0,1.404331303E1,-1.265082645E1,1.896333753E1
3.649795219E0,-2.047292709E0,1.518769932E1,-1.697964478E1,2.287282131E1
3.669718946E0,-4.366342545E0,1.458919239E1,-1.456449604E1,2.107211491E1
3.689636081E0,-6.441493511E0,1.373051834E1,-9.041814804E0,1.765713418E1
3.709553115E0,-4.809774399E0,1.294147587E1,-1.941789746E0,1.394224784E1
3.729469294E0,1.532388687E1,1.472867966E1,4.709424591E1,5.166839954E1
3.749379430E0,1.041068268E1,2.241321564E0,2.448607063E1,2.670156346E1
3.769304092E0,2.907121658E0,2.422531128E0,-1.129548645E1,1.191251558E1
